No,Category,Material Number,Detail Item,UoM,Harga Kontrak 1,Harga Kontrak 2,Harga Kontrak 3,PENAWARAN SAAT KONTRAK KE-3,Harga Planning Kontrak 4,Strategy,Keterangan
134,Sanitary,SNT039,Tisu Towel TESSA 150's,Pack,,Rp 22.000,Rp 22.000,"Rp 22,800",Rp 22.800,PRICE_UP,
135,Sanitary,SNT040,TISU TESSA NATURE KITCHEN TOWEL 2 PLY 150'S - Putih,Pack,,,Rp 22.500,"Rp 22,500",Rp 22.500,CARRY_FORWARD,
136,Sanitary,SNT041,Paseo Tissue Roll / Tissue Toilet 6 Roll,Roll,,,Rp 39.000,"Rp 39,000",Rp 39.000,CARRY_FORWARD,
137,Sanitary,SNT042,Bebek Toilet Cleaner 400ml (bottle),Bottle,,Rp 22.000,Rp 22.000,"Rp 23,300",Rp 23.300,PRICE_UP,
138,Sanitary,SNT043,"""Yuri Porstex"" Porcelain & Ceramic Cleaner 500ml",Jerigan,Rp 21.000,Rp 21.000,Rp 21.000,"Rp 22,000",Rp 22.000,PRICE_UP,
139,Sanitary,SNT044,Vixal Bottle 780 ml,Unit,Rp 21.000,Rp 21.000,Rp 21.000,"Rp 21,000",Rp 21.000,CARRY_FORWARD,
140,Sanitary,SNT045,Klin pack Garbage Bag size L,Pack,,Rp 33.000,,"Rp 37,000",Rp 37.000,PRICE_UP,
141,Sanitary,SNT046,Klin pack Garbage Bag Size M,Pack,,Rp 32.000,,"Rp 35,000",Rp 35.000,PRICE_UP,
142,Sanitary,SNT047,Klin pack Garbage Bag Size S,Pack,,Rp 30.000,,"Rp 34,000",Rp 34.000,PRICE_UP,
143,Sanitary,SNT048,Klin pack Garbage Bag size XL,Pack,,Rp 33.000,,"Rp 38,000",Rp 38.000,PRICE_UP,
144,Sanitary,SNT049,"Customize clear trash bag size 80x100, thickes 50 mikron_Blue",Pack,,,,"Rp 36,000",Rp 36.000,NEW_ITEM,
145,Sanitary,SNT050,"Customize clear trash bag size 80x100, thickes 50 mikron_Green",Pack,,,,"Rp 15,000",Rp 15.000,NEW_ITEM,
146,Sanitary,SNT051,"Customize clear trash bag size 80x100, thickes 50 mikron_Grey",Pack,,,,"Rp 36,000",Rp 36.000,NEW_ITEM,
147,Sanitary,SNT052,"Customize clear trash bag size 80x100, thickes 50 mikron_Yellow",Pack,,,,"Rp 15,000",Rp 15.000,NEW_ITEM,
148,Sanitary,SNT053,"Customize clear trash bag size 60x80, thickes 50 mikron_Blue",Pack,,,,"Rp 36,000",Rp 36.000,NEW_ITEM,
149,Sanitary,SNT054,"Customize clear trash bag size 60x80, thickes 50 mikron_Green",Pack,,,,"Rp 15,000",Rp 15.000,NEW_ITEM,
150,Sanitary,SNT055,"Customize clear trash bag size 60x80, thickes 50 mikron_Grey",Pack,,,,"Rp 36,000",Rp 36.000,NEW_ITEM,
151,Sanitary,SNT056,"Customize clear trash bag size 60x80, thickes 50 mikron_Yellow",Pack,,,,"Rp 15,000",Rp 15.000,NEW_ITEM,
152,Sanitary,SNT057,"Customize clear trash bag size 40x50, thickes 50 mikron_Blue",Pack,,,,"Rp 36,000",Rp 36.000,NEW_ITEM,
